"ea_id","latitude","longitude","round","prop_imp","SPEI","prop_female_head","mean_age_head","prop_salaried_head","prop_head_edu_1","prop_head_edu_2","prop_head_edu_3","prop_head_edu_4","prop_head_edu_5","prop_head_edu_6","prop_head_edu_7","total_plot_size","prop_coupon","prop_credit","prop_left_seeds","prop_advice","members_agri_coop","agri_coop","grid_id","log_prop_imp"
"10101215",-9.50446033477783,33.2302017211914,"3",0.198773011565208,-1.30078542232513,0.15384615957737,45.1538467407227,0.0769230797886848,0.538461565971375,0.0769230797886848,0.0769230797886848,0.15384615957737,0,0,0,15.2700004577637,0.0625,0.15625,0.65625,0.461538463830948,0,0,94,-1.39398075994785
"10103414",-9.97159957885742,33.3739013671875,"3",0.221043333411217,-1.03469884395599,0.16666667163372,44.6666679382324,0.16666667163372,0.333333343267441,0.16666667163372,0.333333343267441,0.0833333358168602,0.0833333358168602,0,0,16.5,0.0689655169844627,0.206896558403969,0.448275864124298,0.75,15,1,93,-1.25959665627087
"10220103",-9.9753999710083,33.9259986877441,"3",0.287769794464111,-1.09464812278748,0.230769231915474,41.538459777832,0.15384615957737,0.538461565971375,0.230769231915474,0.15384615957737,0.0769230797886848,0,0,0,12.2799997329712,0,0.260869562625885,0.695652186870575,0.615384638309479,0,0,95,-0.906240345808257
"10302010",-11.96399974823,34.0768013000488,"3",0.0925925895571709,-1.48876941204071,0.333333343267441,40,0,0.666666686534882,0,0.333333343267441,0,0,0,0,0.649999976158142,0,0,1,0.5,0,0,71,-2.28238242180424
"10502268",-11.2849998474121,33.7784996032715,"3",0.414701133966446,-1.37756788730621,0.25,55.75,0,0.875,0,0,0,0,0,0,16.9899997711182,0,0.105263158679008,0.736842095851898,0.625,0,0,83,-0.344564497210103
"10505310",-11.3125,33.4799003601074,"3",0.3780437707901,-1.51201939582825,0.0769230797886848,46.6153831481934,0,0.538461565971375,0.307692319154739,0.0769230797886848,0.0769230797886848,0,0,0,29.2999992370605,0.105263158679008,0,0.526315808296204,0.230769231915474,0,0,67,-0.49785973456106
"10732192",-11.407600402832,33.9948997497559,"3",0.238095238804817,-1.46015775203705,0,62,1,0,1,0,0,0,0,0,2.84999990463257,0,0.5,0.5,0,0,0,77,-1.16315080589413
"10734370",-11.4329996109009,34.0234985351562,"3",0.999,-1.41746878623962,0,57,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,0,80,6.90675477864855
"10746033",-11.4608001708984,33.9738998413086,"3",0.9375,-1.38942575454712,0,41,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,75,2.70805020110221
"20111718",-13.3487997055054,33.4403991699219,"3",0.550419807434082,-0.673663318157196,0.25,50.125,0.375,0.75,0,0.125,0,0,0,0,22.7700004577637,0.0434782616794109,0.173913046717644,0.56521737575531,0.75,0,0,22,0.20236703138729
"20112661",-12.8816003799438,33.7267990112305,"3",0.447302639484406,-0.876133739948273,0,46.9285697937012,0.214285716414452,0.785714268684387,0,0.0714285746216774,0.142857149243355,0,0,0,46.4900016784668,0.030303031206131,0.151515156030655,0.545454561710358,0.769230782985687,0,0,72,-0.211575171861352
"20205207",-13.3500003814697,34.2705001831055,"3",0.366279065608978,-0.963940382003784,0.571428596973419,52.5714302062988,0.142857149243355,1.14285719394684,0.142857149243355,0.142857149243355,0.142857149243355,0,0,0,25.6200008392334,0.0399999991059303,0.159999996423721,0.560000002384186,0.636363625526428,20,1,92,-0.548213173752856
"20206362",-13.2740001678467,34.1403999328613,"3",0.56542694568634,-0.8752720952034,0,36.2999992370605,0.200000002980232,1.10000002384186,0.100000001490116,0,0,0,0,0,26.2099990844727,0.0540540553629398,0.0270270276814699,0.405405402183533,0.400000005960464,0,0,88,0.263217037083024
"20303065",-13.2305002212524,34.0093002319336,"3",0.232567474246025,-0.733884990215302,0,47.4285697937012,0.142857149243355,0.857142865657806,0.142857149243355,0,0,0,0,0,42.6599998474121,0.0769230797886848,0.0384615398943424,0.576923072338104,0.428571432828903,0,0,84,-1.19387016653462
"20306557",-13.3313999176025,33.8581008911133,"3",0.160524651408195,-0.562900245189667,0.142857149243355,41.2857131958008,0.142857149243355,1.42857146263123,0.142857149243355,0,0,0,0,0,26.1299991607666,0.0625,0.03125,0.65625,0.300000011920929,0,0,45,-1.65432958958868
"20404032",-13.7468996047974,34.163200378418,"3",0.498765647411346,-0.289931654930115,0.214285716414452,51.1428565979004,0,0.28571429848671,0.0714285746216774,0,0.0714285746216774,0,0,0,26.5,0.102564103901386,0.128205135464668,0.410256415605545,0.615384638309479,0,0,65,-0.00493742038500867
"20404575",-13.7920999526978,34.1601982116699,"3",0.333448201417923,-0.260978043079376,0.15384615957737,45.1538467407227,0.15384615957737,0.923076927661896,0.0769230797886848,0.0769230797886848,0,0,0,0,32.75,0.0232558138668537,0.18604651093483,0.395348846912384,0.733333349227905,0,0,55,-0.692630318695984
"20407398",-13.6361999511719,33.7489013671875,"3",0.139115318655968,-0.706877052783966,0.15384615957737,42.230770111084,0,0.769230782985687,0.15384615957737,0,0,0,0,0,43.439998626709,0,0.140625,0.453125,0.384615391492844,0,0,18,-1.82265733994042
"20407481",-13.5076999664307,33.7375984191895,"3",0.247621014714241,-0.686484277248383,0.230769231915474,50.230770111084,0.384615391492844,0.615384638309479,0.0769230797886848,0.0769230797886848,0.15384615957737,0,0,0,25.6499996185303,0.0161290317773819,0.129032254219055,0.354838699102402,0.461538463830948,0,0,23,-1.11134075594178
