"ea_id","latitude","longitude","round","prop_imp","SPEI","prop_female_head","mean_age_head","prop_salaried_head","prop_head_edu_1","prop_head_edu_2","prop_head_edu_3","prop_head_edu_4","prop_head_edu_5","prop_head_edu_6","prop_head_edu_7","total_plot_size","prop_coupon","prop_credit","prop_left_seeds","prop_advice","members_agri_coop","agri_coop","grid_id","log_prop_imp"
"10101215",-9.50446033477783,33.2302017211914,"1",0.15203694999218,0.0646661594510078,0.230769231915474,40.0769233703613,0.0769230797886848,0.538461565971375,0.0769230797886848,0.15384615957737,0.0769230797886848,0,0,0,27.6800003051758,0.125,0.020833333954215,0.541666686534882,0.307692319154739,0,0,94,-1.71871347838058
"10101215",-9.50446033477783,33.2302017211914,"2",0.496132582426071,0.184420675039291,0.230769231915474,43.0769233703613,0.0769230797886848,0.615384638309479,0.0769230797886848,0.15384615957737,0,0,0,0,18.75,0.0333333350718021,0.200000002980232,0.533333361148834,0.307692319154739,0,0,94,-0.0154699788115911
"10101215",-9.50446033477783,33.2302017211914,"3",0.198773011565208,-1.30078542232513,0.15384615957737,45.1538467407227,0.0769230797886848,0.538461565971375,0.0769230797886848,0.0769230797886848,0.15384615957737,0,0,0,15.2700004577637,0.0625,0.15625,0.65625,0.461538463830948,0,0,94,-1.39398075994785
"10101215",-9.50446033477783,33.2302017211914,"4",0.405181974172592,-0.37226140499115,0.0769230797886848,46.6153831481934,0.0769230797886848,0.615384638309479,0,0.15384615957737,0.15384615957737,0,0,0,33.7999992370605,0.0399999991059303,0.140000000596046,0.72000002861023,0.307692319154739,0,0,94,-0.383919234684147
"10103414",-9.97159957885742,33.3739013671875,"1",0.323456794023514,0.0631000101566315,0.25,43.6666679382324,0.333333343267441,0.25,0.16666667163372,0.25,0.16666667163372,0,0,0,20.5799999237061,0.0882352963089943,0.147058829665184,0.529411792755127,0.5,0,0,93,-0.737930765364808
"10103414",-9.97159957885742,33.3739013671875,"2",0.441543996334076,-0.0266605131328106,0.25,46.5,0.16666667163372,0.25,0.16666667163372,0.333333343267441,0.16666667163372,0,0,0,13.2299995422363,0.119999997317791,0.119999997317791,0.519999980926514,0.75,14,1,93,-0.234898172492247
"10103414",-9.97159957885742,33.3739013671875,"3",0.221043333411217,-1.03469884395599,0.16666667163372,44.6666679382324,0.16666667163372,0.333333343267441,0.16666667163372,0.333333343267441,0.0833333358168602,0.0833333358168602,0,0,16.5,0.0689655169844627,0.206896558403969,0.448275864124298,0.75,15,1,93,-1.25959665627087
"10103414",-9.97159957885742,33.3739013671875,"4",0.480836242437363,-0.505324006080627,0.16666667163372,43.4166679382324,0.16666667163372,0.333333343267441,0.0833333358168602,0.333333343267441,0.16666667163372,0,0.0833333358168602,0,20.3400001525879,0.0555555559694767,0.111111111938953,0.583333313465118,0.333333343267441,40,1,93,-0.076692598741609
"10220103",-9.9753999710083,33.9259986877441,"1",0.417033612728119,0.112975046038628,0.0769230797886848,44,0.384615391492844,0.538461565971375,0.15384615957737,0.307692319154739,0,0,0,0,20.1299991607666,0.0344827584922314,0.275862067937851,0.551724135875702,0.384615391492844,0,0,95,-0.334962705310237
"10220103",-9.9753999710083,33.9259986877441,"2",0.530612230300903,-0.103633917868137,0.307692319154739,41.9230766296387,0.15384615957737,0.769230782985687,0.15384615957737,0.0769230797886848,0,0,0,0,13.3100004196167,0,0.380952388048172,0.428571432828903,0.384615391492844,0,0,95,0.122602263484421
"10220103",-9.9753999710083,33.9259986877441,"3",0.287769794464111,-1.09464812278748,0.230769231915474,41.538459777832,0.15384615957737,0.538461565971375,0.230769231915474,0.15384615957737,0.0769230797886848,0,0,0,12.2799997329712,0,0.260869562625885,0.695652186870575,0.615384638309479,0,0,95,-0.906240345808257
"10220103",-9.9753999710083,33.9259986877441,"4",0.384466022253036,-0.0711030885577202,0.230769231915474,43.3846168518066,0.307692319154739,0.538461565971375,0.230769231915474,0.15384615957737,0.0769230797886848,0,0,0,13.8699998855591,0.0476190485060215,0.238095238804817,0.476190477609634,0.230769231915474,0,0,95,-0.470634731200755
"10302010",-11.96399974823,34.0768013000488,"1",0.157894730567932,-1.00994336605072,0.333333343267441,34,0,0.666666686534882,0,0.333333343267441,0,0,0,0,1.39999997615814,0,0.333333343267441,0.333333343267441,1,0,0,71,-1.67397648075868
"10302010",-11.96399974823,34.0768013000488,"2",0.0987654328346252,-0.812931716442108,0.333333343267441,37,0,0.333333343267441,0.333333343267441,0,0,0,0,0,1.61000001430511,0.200000002980232,0,0.600000023841858,0,0,0,71,-2.21101789120147
"10302010",-11.96399974823,34.0768013000488,"3",0.0925925895571709,-1.48876941204071,0.333333343267441,40,0,0.666666686534882,0,0.333333343267441,0,0,0,0,0.649999976158142,0,0,1,0.5,0,0,71,-2.28238242180424
"10302010",-11.96399974823,34.0768013000488,"4",0.00321543402969837,-0.0834151208400726,0.333333343267441,43,0,0.666666686534882,0,0,0.333333343267441,0,0,0,4.73999977111816,0,0,0.375,0.666666686534882,0,0,71,-5.73657231429708
"10502268",-11.2849998474121,33.7784996032715,"1",0.238922983407974,-0.88463681936264,0,53.7777786254883,0,0.888888895511627,0,0,0,0,0,0,22.5900001525879,0.0571428574621677,0.0285714287310839,0.657142877578735,0.222222223877907,0,0,83,-1.15859330235372
"10502268",-11.2849998474121,33.7784996032715,"2",0.236526429653168,-0.120998464524746,0.222222223877907,55.3333320617676,0,0.555555582046509,0.222222223877907,0.111111111938953,0,0,0,0,24.5599994659424,0.0869565233588219,0.0869565233588219,0.434782594442368,0.333333343267441,0,0,83,-1.17181855263951
