ea_id,latitude,longitude,round,prop_imp,SPEI,prop_female_head,mean_age_head,prop_salaried_head,prop_head_edu_1,prop_head_edu_2,prop_head_edu_3,prop_head_edu_4,prop_head_edu_5,prop_head_edu_6,prop_head_edu_7,total_plot_size,prop_coupon,prop_credit,prop_left_seeds,prop_advice,members_agri_coop,agri_coop,maize_hybrid_sellers,assistant_ag_officer,grid_id
10732192,-11.40760040283203,33.99489974975586,2,0,-.5148171186447144,0,58,0,0,0,1,0,0,0,0,2.5,0,0,1,1,0,0,0,0,77
10732192,-11.40760040283203,33.99489974975586,3,.23809524,-1.460157752037048,0,62,1,0,1,0,0,0,0,0,2.8499999,0,.5,.5,0,0,0,,,77
10732192,-11.40760040283203,33.99489974975586,4,0,-.364139199256897,0,50,0,1,0,0,0,0,0,0,2.76,0,0,.80000001,0,0,0,,,77
10734370,-11.43299961090088,34.02349853515625,1,.8490566,-.9400842189788818,0,51,1,0,0,1,0,0,0,0,3.7,0,.66666669,.33333334,0,0,0,0,0,80
10734370,-11.43299961090088,34.02349853515625,2,1,-.5046207308769226,0,53.5,1,0,0,0,.5,.5,0,0,2.52,0,.5,.5,0,0,0,0,0,80
10734370,-11.43299961090088,34.02349853515625,3,1,-1.417468786239624,0,57,1,0,0,0,1,0,0,0,,,,,,0,0,,,80
10734370,-11.43299961090088,34.02349853515625,4,.54981673,-.3205321729183197,0,59.5,.5,0,0,0,.5,0,.5,0,2.4300001,0,.33333334,.5,0,0,0,,,80
10746033,-11.46080017089844,33.97389984130859,1,.1,-.9574111700057983,0,36,.5,.5,0,.5,0,0,0,0,1.39,0,.5,0,0,0,0,0,0,75
10746033,-11.46080017089844,33.97389984130859,2,0,-.5248315930366516,0,39,1,.5,0,.5,0,0,0,0,1.6900001,0,0,.5,0,0,0,5,0,75
10746033,-11.46080017089844,33.97389984130859,3,.9375,-1.389425754547119,0,41,0,2,0,0,0,0,0,0,,,,,,0,0,1,0,75
10746033,-11.46080017089844,33.97389984130859,4,.25396827,-.2570443153381348,.5,33,.5,0,1,0,0,0,0,0,2.73,0,0,.75,0,0,0,0,0,75
20111718,-13.34879970550537,33.44039916992188,1,.4719997,-1.493432402610779,.125,44.75,.25,.875,0,.125,0,0,0,0,22.57,.11764706,.17647059,.47058824,0,0,0,0,0,22
20111718,-13.34879970550537,33.44039916992188,2,.41357368,.6281725168228149,.125,45.375,.25,.875,0,.125,0,0,0,0,18.82,.043478262,.17391305,.39130434,.75,0,0,0,1,22
20111718,-13.34879970550537,33.44039916992188,3,.55041981,-.673663318157196,.25,50.125,.375,.75,0,.125,0,0,0,0,22.77,.043478262,.17391305,.56521738,.75,0,0,0,0,22
20111718,-13.34879970550537,33.44039916992188,4,.068164818,-.340492844581604,0,43.875,.375,.5,.125,.125,0,.125,0,0,14.56,0,.13636364,.40909091,0,0,0,6,1,22
20112661,-12.88160037994385,33.72679901123047,1,.54554743,-1.009866237640381,.14285715,47.714287,.21428572,.35714287,.21428572,0,.14285715,0,0,0,56.43,0,.069767445,.72093022,.21428572,0,0,0,0,72
20112661,-12.88160037994385,33.72679901123047,2,.11113913,.7994605898857117,.14285715,49.785713,.21428572,.64285713,0,0,.071428575,0,0,0,56.759998,0,.03846154,.59615386,.85714287,0,0,0,0,72
20112661,-12.88160037994385,33.72679901123047,3,.44730264,-.8761337399482727,0,46.92857,.21428572,.78571427,0,.071428575,.14285715,0,0,0,46.490002,.030303031,.15151516,.54545456,.76923078,0,0,8,0,72
20112661,-12.88160037994385,33.72679901123047,4,.47237971,-.6067786812782288,.14285715,48.642857,.071428575,.78571427,0,.071428575,0,0,0,0,41.939999,.023255814,.11627907,.44186047,.21428572,0,0,0,0,72
20205207,-13.35000038146973,34.27050018310547,1,.38950276,-.5820566415786743,.33333334,40.5,0,.58333331,.16666667,.083333336,0,0,0,0,17.35,.07692308,.11538462,.57692307,.5,0,0,0,0,92
20205207,-13.35000038146973,34.27050018310547,2,.38905224,-.0635576397180557,.41666666,41.5,.16666667,.58333331,.083333336,.16666667,0,0,0,0,18.440001,0,.19354838,.45161289,.75,0,0,0,0,92
20205207,-13.35000038146973,34.27050018310547,3,.36627907,-.9639403820037842,.5714286,52.57143,.14285715,1.1428572,.14285715,.14285715,.14285715,0,0,0,25.620001,.039999999,.16,.56,.63636363,20,1,2,1,92
20205207,-13.35000038146973,34.27050018310547,4,.39297646,-1.08016312122345,.25,45.75,.25,.66666669,.083333336,.083333336,.083333336,0,0,0,28.73,0,.2631579,.39473686,.33333334,0,0,3,1,92
20206362,-13.27400016784668,34.14039993286133,1,.82794958,-.8227841854095459,.083333336,35.666668,.083333336,.83333331,.083333336,0,0,0,0,0,24.200001,.19354838,.064516127,.54838711,.16666667,25,1,0,1,88
20206362,-13.27400016784668,34.14039993286133,2,.75986159,.0896998271346092,.16666667,38.583332,0,.66666669,.16666667,0,0,0,0,0,27.780001,.064516127,.19354838,.51612902,.66666669,122,1,1,1,88
20206362,-13.27400016784668,34.14039993286133,3,.56542695,-.8752720952033997,0,36.299999,.2,1.1,.1,0,0,0,0,0,26.209999,.054054055,.027027028,.4054054,.40000001,0,0,0,1,88
